source_path	localized_path	source_commit	status	language_review	domain_review	notes
README.md	localization/zh-Hant-TW/src/project-overview.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	translated	pending	pending	第一階段，含資料流向提醒
docs/README.md	localization/zh-Hant-TW/src/docs-home.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	translated	pending	pending	第一階段
docs/SUMMARY.md	localization/zh-Hant-TW/src/SUMMARY.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	目錄隨翻譯進度擴充
docs/user/README.md	localization/zh-Hant-TW/src/user/README.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	translated	pending	pending	第一階段，含 NCMEC 與外部服務提醒
docs/user/concepts.md	localization/zh-Hant-TW/src/user/concepts.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	translated	pending	pending	第一階段，含歐盟與台灣適用提醒
docs/user/automated-enforcement.md	localization/zh-Hant-TW/src/user/automated-enforcement.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段，領域審查
docs/user/review-console.md	localization/zh-Hant-TW/src/user/review-console.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段，審查員身心健康
docs/user/signals.md	localization/zh-Hant-TW/src/user/signals.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段，模型能力限制
docs/user/investigation.md	localization/zh-Hant-TW/src/user/investigation.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段
docs/user/bulk-actioning.md	localization/zh-Hant-TW/src/user/bulk-actioning.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段，領域審查
docs/user/reports.md	localization/zh-Hant-TW/src/user/reports.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段
docs/user/appeals.md	localization/zh-Hant-TW/src/user/appeals.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段
docs/user/child-safety.md	localization/zh-Hant-TW/src/user/child-safety.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段，法律與兒少安全審查
docs/user/metrics.md	localization/zh-Hant-TW/src/user/metrics.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段
